Name,,Sex,Age,Team,NOC,Year,City,Sport,Event,Gold,Bronze,Silver,None
Edgaras Ulanovas,,M,24,Great Britain,GBR,2016,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,0,1,0,1
Edgaras Venckaitis,,M,30,Netherlands,NED,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,0,0,1,1
Eduard Soghomonyan,,M,26,Great Britain,GBR,2014,Sochi,Snowboarding,Snowboarding Women's Slopestyle,0,1,0,1
Eduardo Ignacio Solaeche Gmez,,M,22,Sweden,SWE,2014,Sochi,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,0,0,1,1
Edus Treimanis,,M,28,Netherlands,NED,2016,Rio de Janeiro,Boxing,Boxing Women's Middleweight,0,0,1,1
Edwina Tops-Alexander,,F,42,United States,USA,2016,Rio de Janeiro,Swimming,Swimming Men's 200 metres Freestyle,0,1,0,1
Edwina Tops-Alexander,,F,42,United States,USA,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,1,0,0,1
Eelco Peter Sintnicolaas,,M,29,Belarus,BLR,2014,Sochi,Biathlon,Biathlon Women's 12.5 kilometres Mass Start,1,0,0,1
Eiki Takahashi,,M,23,France,FRA,2016,Rio de Janeiro,Rowing,Rowing Men's Lightweight Double Sculls,1,0,0,1
Eimantas Stanionis,,M,21,Canada,CAN,2014,Sochi,Figure Skating,Figure Skating Mixed Team,0,0,1,1
Eirini Vasileiou,,F,26,France,FRA,2016,Rio de Janeiro,Handball,Handball Women's Handball,0,0,1,1
"Ekaterina ""Katja"" Volkova",,F,19,Germany,GER,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,0,1,0,1
Elaine Thompson,,F,24,Romania,ROU,2016,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,0,1,0,1
Elaine Thompson,,F,24,Italy,ITA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,0,0,1,1
Elaine Thompson,,F,24,France,FRA,2016,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,0,1,0,1
Elena Monica Ungureanu,,F,28,Germany,GER,2016,Rio de Janeiro,Hockey,Hockey Men's Hockey,0,1,0,1
Elena Wassen,,F,15,France,FRA,2016,Rio de Janeiro,Handball,Handball Women's Handball,0,0,1,1
"Eleonora Maria ""Ellen"" van Dijk",,F,29,Russia,RUS,2016,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,0,1,0,1
"Eleonora Maria ""Ellen"" van Dijk",,F,29,Germany,GER,2016,Rio de Janeiro,Shooting,"Shooting Women's Sporting Pistol, 25 metres",0,0,1,1
Elia Viviani,,M,27,Germany,GER,2016,Rio de Janeiro,Football,Football Women's Football,1,0,0,1
Elif Jale Yeilrmak,,F,30,Russia,RUS,2016,Rio de Janeiro,Handball,Handball Women's Handball,1,0,0,1
Elina Mykhailivna Svitolina,,F,21,Russia,RUS,2014,Sochi,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",1,0,0,1
Elina Mykhailivna Svitolina,,F,21,Russia,RUS,2014,Sochi,Snowboarding,Snowboarding Women's Parallel Giant Slalom,0,1,0,1
Elitsa Atanasova Yankova,,F,21,Brazil,BRA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,1,0,0,1
"Elizabeth ""Liz"" Thompson",,F,21,Turkey,TUR,2016,Rio de Janeiro,Athletics,Athletics Men's 400 metres Hurdles,0,1,0,1
Elke Vanhoof,,F,24,Germany,GER,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,0,1,0,1
Ellen Sprunger,,F,29,Finland,FIN,2014,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,0,1,0,1
Ellen Tomek,,F,32,United States,USA,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,1,0,0,1
Elliot Van Strydonck,,M,28,Fiji,FIJ,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,1,0,0,1
Elmira Anuarbekovna Syzdykova,,F,24,United States,USA,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,1,0,0,1
Elmurat Zulypkarovich Tasmuradov,,M,24,New Zealand,NZL,2016,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,1,0,0,1
Eloise Wellings (Poppet-),,F,33,Denmark,DEN,2016,Rio de Janeiro,Badminton,Badminton Women's Doubles,0,0,1,1
Eloise Wellings (Poppet-),,F,33,Denmark,DEN,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,0,1,0,1
Elsie Uwamahoro,,F,27,Azerbaijan,AZE,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Middleweight, Freestyle",0,1,0,1
Emanuel Eduardo Pimenta Vieira da Silva,,M,30,Finland,FIN,2014,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,0,1,0,1
Emese Judit Szsz,,F,33,Germany,GER,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",0,1,0,1
Emilce Sosa,,F,28,Poland,POL,2014,Sochi,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,1,0,0,1
Emilia Alina Vuc,,F,22,United States,USA,2016,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,1,0,0,1
Emily Louise Van Egmond,,F,23,Japan,JPN,2016,Rio de Janeiro,Wrestling,"Wrestling Women's Middleweight, Freestyle",1,0,0,1
Emily Smith,,F,24,Japan,JPN,2014,Sochi,Figure Skating,Figure Skating Men's Singles,1,0,0,1
Emma Kate Tonegato,,F,21,China,CHN,2016,Rio de Janeiro,Rowing,Rowing Women's Single Sculls,0,1,0,1
Emma Twigg,,F,29,China,CHN,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,0,0,1,1
Emmanuel Stockbroekx,,M,22,United States,USA,2014,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,0,0,1,1
Emmanuel Vanluchene,,M,23,South Korea,KOR,2016,Rio de Janeiro,Archery,Archery Men's Individual,1,0,0,1
Emmanuel Vanluchene,,M,23,South Korea,KOR,2016,Rio de Janeiro,Archery,Archery Men's Team,1,0,0,1
Emmanuel Vanluchene,,M,23,United States,USA,2016,Rio de Janeiro,Golf,Golf Men's Individual,0,1,0,1
Emmanuel Zapata,,M,29,Germany,GER,2016,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",1,0,0,1
Enzo Diego Yez Jhonson,,M,30,United States,USA,2016,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,1,0,0,1
Epke Jan Zonderland,,M,30,Russia,RUS,2016,Rio de Janeiro,Cycling,Cycling Women's Individual Time Trial,0,0,1,1
Epke Jan Zonderland,,M,30,Canada,CAN,2016,Rio de Janeiro,Football,Football Women's Football,0,1,0,1
Eri Tosaka,,F,22,Brazil,BRA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,1,0,0,1
Eri Yonamine,,F,25,Italy,ITA,2016,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,0,0,1,1
Eri Yonamine,,F,25,Japan,JPN,2016,Rio de Janeiro,Judo,Judo Women's Middleweight,1,0,0,1
Eric Woelfl,,M,27,Argentina,ARG,2016,Rio de Janeiro,Hockey,Hockey Men's Hockey,1,0,0,1
Erica Elizabeth Wiebe,,F,27,Russia,RUS,2016,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,0,1,0,1
Erik Marcus Svensson,,M,26,Russia,RUS,2014,Sochi,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",1,0,0,1
Erik Tysse,,M,35,Japan,JPN,2016,Rio de Janeiro,Swimming,Swimming Men's 400 metres Individual Medley,1,0,0,1
Erik Varga,,M,40,Czech Republic,CZE,2016,Rio de Janeiro,Cycling,"Cycling Men's Mountainbike, Cross-Country",0,0,1,1
Erik Vlek,,M,34,Canada,CAN,2016,Rio de Janeiro,Swimming,Swimming Women's 100 metres Backstroke,0,1,0,1
Erik Vlek,,M,34,Great Britain,GBR,2016,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,0,1,0,1
Erika Villacija Garca,,F,32,Serbia,SRB,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,0,0,1,1
Erin Teschuk,,F,21,Great Britain,GBR,2016,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,0,0,1,1
Erlon de Souza Silva,,M,25,United States,USA,2014,Sochi,Figure Skating,Figure Skating Mixed Team,0,1,0,1
Ernesto Andrs Zamora,,M,33,Belgium,BEL,2016,Rio de Janeiro,Hockey,Hockey Men's Hockey,0,0,1,1
Ersin Tacir,,M,31,Sweden,SWE,2016,Rio de Janeiro,Football,Football Women's Football,0,0,1,1
Esmee Vermeulen,,F,20,Slovakia,SVK,2016,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",0,0,1,1
Esther Stam,,F,29,Norway,NOR,2014,Sochi,Nordic Combined,"Nordic Combined Men's Large Hill / 10 km, Individual",0,0,1,1
Etimoni Timuani,,M,24,Netherlands,NED,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,0,0,1,1
Eunice Jepkoech Sum,,F,28,Czech Republic,CZE,2014,Sochi,Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,0,0,1,1
Eva Vrabcov-Nvltov,,F,30,United States,USA,2016,Rio de Janeiro,Fencing,"Fencing Men's Foil, Team",0,1,0,1
Evagjelia Veli,,F,25,Malaysia,MAS,2016,Rio de Janeiro,Badminton,Badminton Men's Singles,0,0,1,1
Evan Van Moerkerke,,M,22,South Korea,KOR,2016,Rio de Janeiro,Taekwondo,Taekwondo Women's Flyweight,1,0,0,1
Evelyn Lee Stevens (-Baker),,F,33,Latvia,LAT,2014,Sochi,Luge,Luge Mixed Team Relay,0,1,0,1
Evelyn Lee Stevens (-Baker),,F,33,Finland,FIN,2014,Sochi,Snowboarding,Snowboarding Women's Slopestyle,0,0,1,1
Evelyn Verraszt,,F,27,Australia,AUS,2016,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,0,0,1,1
Evelyn Verraszt,,F,27,Italy,ITA,2016,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,0,1,0,1
Evelyne Tschopp,,F,25,Italy,ITA,2016,Rio de Janeiro,Fencing,"Fencing Men's epee, Team",0,0,1,1
Evi Van Acker,,F,30,France,FRA,2016,Rio de Janeiro,Fencing,"Fencing Men's epee, Team",1,0,0,1
Ewa Nikola Swoboda,,F,19,Russia,RUS,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,0,0,1,1
Ewa Nikola Swoboda,,F,19,Russia,RUS,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,0,0,1,1
Ewelina Wojnarowska,,F,29,France,FRA,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",1,0,0,1
Eythora Elisabet Thorsdottir,,F,17,Hungary,HUN,2016,Rio de Janeiro,Swimming,Swimming Men's 100 metres Butterfly,0,0,1,1
Eythora Elisabet Thorsdottir,,F,17,Hungary,HUN,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",1,0,0,1
Eythora Elisabet Thorsdottir,,F,17,Serbia,SRB,2016,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,1,0,0,1
Eythora Elisabet Thorsdottir,,F,17,Great Britain,GBR,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,1,0,0,1
Eythora Elisabet Thorsdottir,,F,17,Azerbaijan,AZE,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",0,1,0,1
Fabian Wiede,,M,22,Russia,RUS,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,1,0,0,1
Fabienne Aline St Louis,,F,28,Switzerland,SUI,2014,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,0,1,0,1
Fabio Wyss,,M,27,Great Britain,GBR,2016,Rio de Janeiro,Sailing,Sailing Men's One Person Heavyweight Dinghy,1,0,0,1
Fabrizio Zanotti Cavazzoni,,M,33,Belgium,BEL,2016,Rio de Janeiro,Judo,Judo Men's Lightweight,0,1,0,1
Faye Sultan Hussain,,F,21,Canada,CAN,2014,Sochi,Figure Skating,Figure Skating Mixed Team,0,0,1,1
Federico Matas Vieyra,,M,28,Bulgaria,BUL,2016,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,0,1,0,1
Federico Turrini,,M,29,Germany,GER,2016,Rio de Janeiro,Hockey,Hockey Men's Hockey,0,1,0,1
Federico Vanelli,,M,25,Denmark,DEN,2016,Rio de Janeiro,Handball,Handball Men's Handball,1,0,0,1
Felipe Almeida Wu,,M,24,Canada,CAN,2016,Rio de Janeiro,Football,Football Women's Football,0,1,0,1
Felipe Almeida Wu,,M,24,United States,USA,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,0,0,1,1
Felipe Tapa Salinas,,M,21,Sweden,SWE,2016,Rio de Janeiro,Football,Football Women's Football,0,0,1,1
Felix Vogg,,M,26,Bahamas,BAH,2016,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,0,1,0,1
Felix Wimberger,,M,26,Germany,GER,2016,Rio de Janeiro,Athletics,Athletics Men's Javelin Throw,1,0,0,1
Femke Stoltenborg,,F,25,United States,USA,2014,Sochi,Alpine Skiing,Alpine Skiing Women's Slalom,1,0,0,1
Ferenc Szekszrdi,,M,36,Italy,ITA,2016,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,0,0,1,1
Ferenc Szekszrdi,,M,36,Nigeria,NGR,2016,Rio de Janeiro,Football,Football Men's Football,0,1,0,1
Ferenc Szentirmai,,M,32,Canada,CAN,2016,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,0,1,0,1
Ferenc Szentirmai,,M,32,Turkey,TUR,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",1,0,0,1
Ferry Weertman,,M,24,Germany,GER,2016,Rio de Janeiro,Table Tennis,Table Tennis Men's Team,0,1,0,1
Fidel Antonio Vargas Duany,,M,24,Russia,RUS,2016,Rio de Janeiro,Handball,Handball Women's Handball,1,0,0,1
Filip Ude,,M,30,Japan,JPN,2016,Rio de Janeiro,Judo,Judo Men's Heavyweight,0,0,1,1
Filip vb,,M,33,Netherlands,NED,2014,Sochi,Speed Skating,"Speed Skating Women's 1,500 metres",0,0,1,1
Filip Wypych,,M,25,Great Britain,GBR,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,0,0,1,1
Filip Zaborowski,,M,22,Great Britain,GBR,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,1,0,0,1
Flavia Tartaglini,,F,31,Germany,GER,2016,Rio de Janeiro,Table Tennis,Table Tennis Men's Team,0,1,0,1
Florent Van Aubel,,M,24,Sweden,SWE,2016,Rio de Janeiro,Cycling,"Cycling Women's Road Race, Individual",0,0,1,1
Florian Skilang Temengil,,M,29,United States,USA,2016,Rio de Janeiro,Basketball,Basketball Men's Basketball,1,0,0,1
Florian Vogel,,M,21,United States,USA,2016,Rio de Janeiro,Fencing,"Fencing Men's Foil, Individual",0,0,1,1
Florian Vogel,,M,21,United States,USA,2016,Rio de Janeiro,Fencing,"Fencing Men's Foil, Team",0,1,0,1
Florian Wellbrock,,M,18,Croatia,CRO,2016,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,0,0,1,1
Forough Abbasi,,F,20,Netherlands,NED,2014,Sochi,Speed Skating,Speed Skating Men's Team Pursuit (8 laps),1,0,0,1
"Frances ""Francie"" Turner",,F,24,Belgium,BEL,2016,Rio de Janeiro,Hockey,Hockey Men's Hockey,0,0,1,1
Franck Robert Bernard Solforosi,,M,31,Sweden,SWE,2014,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,0,0,1,1
Frank Stbler,,M,27,France,FRA,2014,Sochi,Ski Jumping,"Ski Jumping Women's Normal Hill, Individual",0,1,0,1
Frank Thompson,,M,28,Spain,ESP,2016,Rio de Janeiro,Cycling,"Cycling Men's Mountainbike, Cross-Country",0,1,0,1
Franziska Weber,,F,27,Argentina,ARG,2016,Rio de Janeiro,Hockey,Hockey Men's Hockey,1,0,0,1
Franziska Weber,,F,27,Azerbaijan,AZE,2016,Rio de Janeiro,Judo,Judo Men's Lightweight,0,0,1,1
Franziska Weber,,F,27,Germany,GER,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,0,1,0,1
"Frdric ""Fred"" Winters",,M,33,Russia,RUS,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,1,0,0,1
Freddie Woodward,,M,21,Sweden,SWE,2016,Rio de Janeiro,Football,Football Women's Football,0,0,1,1
frica Zamorano Sanz,,F,18,Netherlands,NED,2016,Rio de Janeiro,Judo,Judo Women's Half-Middleweight,0,1,0,1
frica Zamorano Sanz,,F,18,Netherlands,NED,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,0,0,1,1
frica Zamorano Sanz,,F,18,Netherlands,NED,2016,Rio de Janeiro,Cycling,Cycling Men's BMX,0,0,1,1
Frid zizova,,F,21,China,CHN,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,0,1,0,1
Frida Tegstedt,,F,29,Italy,ITA,2016,Rio de Janeiro,Swimming,Swimming Women's 10 kilometres Open Water,0,0,1,1
Fu Yu,,F,37,Brazil,BRA,2016,Rio de Janeiro,Football,Football Men's Football,1,0,0,1
Fyodor Vladimirovich Vlasov,,M,32,Japan,JPN,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,0,1,0,1
Gabriel Sncrian,,M,27,United States,USA,2014,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,0,0,1,1
Gabriela Stafford,,F,20,United States-1,USA,2014,Sochi,Bobsleigh,Bobsleigh Women's Two,0,0,1,1
Gabriela Stoeva,,F,22,Finland,FIN,2014,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,0,1,0,1
Gabriella Ibolya Szcs,,F,31,Iran,IRI,2016,Rio de Janeiro,Taekwondo,Taekwondo Women's Featherweight,0,1,0,1
Gabriella Szcs,,F,28,Brazil-1,BRA,2016,Rio de Janeiro,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,1,0,0,1
Gabriella Timea Szab,,F,29,South Africa,RSA,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,0,1,0,1
Gabriella Timea Szab,,F,29,France,FRA,2016,Rio de Janeiro,Judo,Judo Women's Half-Middleweight,0,0,1,1
Gal Suter,,M,24,Russia,RUS,2014,Sochi,Snowboarding,Snowboarding Men's Parallel Slalom,1,0,0,1
Galal Yafai,,M,23,Russia,RUS,2016,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",0,1,0,1
Galina Olegovna Voskoboyeva,,F,31,Australia,AUS,2016,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,0,0,1,1
Galle Skrela,,F,33,Switzerland,SUI,2014,Sochi,Snowboarding,Snowboarding Men's Parallel Giant Slalom,0,0,1,1
Galymzhan Shakhizindakhanovich Userbayev,,M,27,Japan,JPN,2016,Rio de Janeiro,Swimming,Swimming Women's 200 metres Butterfly,0,1,0,1
Gaurika Singh,,F,13,United States,USA,2014,Sochi,Freestyle Skiing,Freestyle Skiing Men's Slopestyle,1,0,0,1
Gavin Ben Sutherland,,M,37,Italy,ITA,2014,Sochi,Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,0,1,0,1
Gelena Dmitriyevna Topilina,,F,22,Great Britain,GBR,2016,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,1,0,0,1
Gemma Tattersall,,F,31,Russia,RUS,2016,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,0,1,0,1
Gemma Tattersall,,F,31,Cuba,CUB,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",1,0,0,1
"Genevra ""Gevvie"" Stone",,F,31,South Korea,KOR,2014,Sochi,Short Track Speed Skating,"Short Track Speed Skating Women's 1,000 metres",0,1,0,1
Georcy-Stphanie Thiffeault Picard,,F,25,Russia,RUS,2016,Rio de Janeiro,Fencing,"Fencing Men's Foil, Team",1,0,0,1
Georgi Stoykov Tsonov,,M,23,Greece,GRE,2016,Rio de Janeiro,Swimming,Swimming Men's 10 kilometres Open Water,0,0,1,1
Georgia Simmerling,,F,27,Canada,CAN,2014,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,1,0,0,1
"Georgina Sophie ""Georgie"" Twigg",,F,25,Great Britain,GBR,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,0,0,1,1
Geraint Howell Thomas,,M,30,Spain,ESP,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, Slalom",1,0,0,1
Geraint Howell Thomas,,M,30,United States,USA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,0,1,0,1
Gerg Zalnki,,M,21,France,FRA,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",1,0,0,1
"Gerry Lester ""Bubba"" Watson, Jr.",,M,37,Japan,JPN,2016,Rio de Janeiro,Badminton,Badminton Women's Singles,0,1,0,1
Giannis Tamouridis,,M,36,Australia,AUS,2016,Rio de Janeiro,Sailing,Sailing Men's Two Person Dinghy,0,0,1,1
Giannis Tsilis,,M,30,South Africa,RSA,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,0,1,0,1
Giedrius Titenis,,M,27,Belgium,BEL,2016,Rio de Janeiro,Hockey,Hockey Men's Hockey,0,0,1,1
Giedrius Titenis,,M,27,China,CHN,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,0,1,0,1
Giedrius Titenis,,M,27,China,CHN,2016,Rio de Janeiro,Weightlifting,Weightlifting Women's Middleweight,1,0,0,1
Gilles Simon,,M,31,Austria,AUT,2014,Sochi,Nordic Combined,Nordic Combined Men's Team,0,1,0,1
Gintar Volungeviit-Scheidt,,F,33,Great Britain,GBR,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,0,0,1,1
Giorgos Tziallas,,M,29,Japan,JPN,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,0,1,0,1
Giovanni Simeone Baldini,,M,21,Norway,NOR,2014,Sochi,Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,1,0,0,1
Giovanni Tocci,,M,21,Ethiopia,ETH,2016,Rio de Janeiro,Athletics,"Athletics Women's 1,500 metres",0,0,1,1
Giulia Steingruber,,F,22,Germany,GER,2014,Sochi,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,0,0,1,1
Giulia Steingruber,,F,22,Italy,ITA,2014,Sochi,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",0,1,0,1
Giulia Steingruber,,F,22,France,FRA,2014,Sochi,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,0,1,0,1
Giulia Steingruber,,F,22,Canada,CAN,2014,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,1,0,0,1
Giulia Steingruber,,F,22,Sweden,SWE,2014,Sochi,Cross Country Skiing,Cross Country Skiing Men's Sprint,0,0,1,1
Giuseppe Vicino,,M,23,Norway,NOR,2016,Rio de Janeiro,Handball,Handball Women's Handball,0,1,0,1
Gladys Lucy Tejeda Pucuhuaranga,,F,30,Great Britain,GBR,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,0,0,1,1
Glenn Andrew Mark Snyders,,M,29,Finland,FIN,2014,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,0,1,0,1
Glenn Andrew Mark Snyders,,M,29,Sweden,SWE,2014,Sochi,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,1,0,0,1
Glenn N. R. Surgeloose,,M,26,Norway,NOR,2014,Sochi,Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,0,1,0,1
Glenn N. R. Surgeloose,,M,26,Sweden,SWE,2014,Sochi,Curling,Curling Women's Curling,0,0,1,1
Glenn N. R. Surgeloose,,M,26,United States-1,USA,2014,Sochi,Figure Skating,Figure Skating Mixed Ice Dancing,1,0,0,1
Glenn N. R. Surgeloose,,M,26,United States,USA,2014,Sochi,Figure Skating,Figure Skating Mixed Team,0,1,0,1
Glenn Turner,,M,32,Brazil,BRA,2016,Rio de Janeiro,Sailing,Sailing Women's Skiff,1,0,0,1
Glenn Victor Sutanto,,M,26,Sweden,SWE,2014,Sochi,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,1,0,0,1
Gonzalo Ral Tellechea,,M,31,Serbia,SRB,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,0,0,1,1
Goran Stojanovi,,M,39,Ukraine,UKR,2014,Sochi,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,1,0,0,1
Gorazd kof,,M,39,Germany,GER,2014,Sochi,Nordic Combined,Nordic Combined Men's Team,0,0,1,1
Goretti Alejandra Zumaya Flores,,F,19,China-1,CHN,2016,Rio de Janeiro,Badminton,Badminton Mixed Doubles,0,1,0,1
Govert Viergever,,M,27,Nigeria,NGR,2016,Rio de Janeiro,Football,Football Men's Football,0,1,0,1
Grace Stewart,,F,19,Czech Republic,CZE,2014,Sochi,Speed Skating,"Speed Skating Women's 5,000 metres",1,0,0,1
Grace Wanjiru Njue,,F,37,Denmark,DEN,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,0,1,0,1
Graham Vigrass,,M,27,Australia,AUS,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,0,1,0,1
Grce Zaadi Deuna,,F,23,Kenya,KEN,2016,Rio de Janeiro,Athletics,Athletics Men's 400 metres Hurdles,0,0,1,1
Greg Van Avermaet,,M,31,United States,USA,2016,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,1,0,0,1
Gregor Traber,,M,23,China,CHN,2016,Rio de Janeiro,Golf,Golf Women's Individual,0,1,0,1
Gregory Maxdier Vargas Diaz,,M,30,Russia,RUS,2016,Rio de Janeiro,Judo,Judo Women's Half-Lightweight,0,1,0,1
Grigory Arkadyevich Tarasevich,,M,21,Denmark,DEN,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,0,1,0,1
Grigory Arkadyevich Tarasevich,,M,21,Australia,AUS,2016,Rio de Janeiro,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",0,0,1,1
"Guanjie ""Johnathan"" Wong",,M,23,Australia,AUS,2016,Rio de Janeiro,Sailing,Sailing Men's Two Person Dinghy,0,0,1,1
"Guanjie ""Johnathan"" Wong",,M,23,Russia,RUS,2016,Rio de Janeiro,Swimming,Swimming Men's 200 metres Backstroke,0,1,0,1
Gudaf Tsegay Desta,,F,19,United States,USA,2016,Rio de Janeiro,Athletics,Athletics Men's 100 metres,0,0,1,1
Gudrun Stock,,F,21,Austria,AUT,2014,Sochi,Alpine Skiing,Alpine Skiing Women's Slalom,0,0,1,1
Guido Vianello,,M,22,Brazil,BRA,2016,Rio de Janeiro,Football,Football Men's Football,1,0,0,1
Guilherme Amaral Toldo,,M,23,Germany,GER,2016,Rio de Janeiro,Handball,Handball Men's Handball,0,1,0,1
Guilherme Amaral Toldo,,M,23,Russia,RUS,2016,Rio de Janeiro,Cycling,Cycling Men's Sprint,0,1,0,1
